  	B:  1.681944E8
  	S:  2.06337456E8
  	早盘竞价交易:  1.2618246E7
  	尾盘竞价交易:  3921852.0
  	不明交易:  338246.0
  	总计:3.91410176E8

 	 价格：4.38  	 小计：7.2732224E7
 	 价格：4.4  	 小计：5.403552E7
 	 价格：4.39  	 小计：5.2020576E7
 	 价格：4.37  	 小计：4.4548592E7
 	 价格：4.45  	 小计：3.141164E7
 	 价格：4.41  	 小计：2.730006E7
 	 价格：4.44  	 小计：2.124762E7
 	 价格：4.43  	 小计：1.8343732E7
 	 价格：4.49  	 小计：1.6731535E7
 	 价格：4.42  	 小计：1.2677002E7
 	 价格：4.48  	 小计：1.2589696E7
 	 价格：4.46  	 小计：1.1447036E7
 	 价格：4.47  	 小计：8380356.0
 	 价格：4.36  	 小计：7944792.0

	 时间-9:42	 价格-4.44	 笔数-1137  	 交易帐户数（假想）-14	 被动买还是主动买-S	 小计-504828.03
	 时间-9:58	 价格-4.4	 笔数-1146  	 交易帐户数（假想）-30	 被动买还是主动买-S	 小计-504240.0
	 时间-13:56	 价格-4.38	 笔数-1141  	 交易帐户数（假想）-1	 被动买还是主动买-B	 小计-499758.0
	 时间-13:52	 价格-4.38	 笔数-1114  	 交易帐户数（假想）-13	 被动买还是主动买-S	 小计-487932.03
	 时间-14:37	 价格-4.37	 笔数-1113  	 交易帐户数（假想）-3	 被动买还是主动买-B	 小计-486381.0
	 时间-9:32	 价格-4.45	 笔数-1088  	 交易帐户数（假想）-39	 被动买还是主动买-S	 小计-484159.97
	 时间-13:06	 价格-4.39	 笔数-1099  	 交易帐户数（假想）-10	 被动买还是主动买-S	 小计-482461.0
	 时间-13:30	 价格-4.37	 笔数-1101  	 交易帐户数（假想）-47	 被动买还是主动买-S	 小计-481137.0
	 时间-13:00	 价格-4.41	 笔数-1089  	 交易帐户数（假想）-40	 被动买还是主动买-B	 小计-480248.97
	 时间-13:16	 价格-4.38	 笔数-1092  	 交易帐户数（假想）-2	 被动买还是主动买-S	 小计-478296.0
	 时间-10:39	 价格-4.41	 笔数-1073  	 交易帐户数（假想）-25	 被动买还是主动买-B	 小计-473192.97
	 时间-10:37	 价格-4.4	 笔数-1073  	 交易帐户数（假想）-21	 被动买还是主动买-S	 小计-472120.03
	 时间-9:52	 价格-4.43	 笔数-1062  	 交易帐户数（假想）-14	 被动买还是主动买-S	 小计-470465.97
	 时间-9:35	 价格-4.43	 笔数-1060  	 交易帐户数（假想）-15	 被动买还是主动买-S	 小计-469579.97
	 时间-10:41	 价格-4.41	 笔数-1060  	 交易帐户数（假想）-16	 被动买还是主动买-B	 小计-467459.97
	 时间-14:15	 价格-4.38	 笔数-1065  	 交易帐户数（假想）-3	 被动买还是主动买-B	 小计-466470.03
	 时间-9:31	 价格-4.47	 笔数-1039  	 交易帐户数（假想）-17	 被动买还是主动买-B	 小计-464432.97
	 时间-10:01	 价格-4.39	 笔数-1054  	 交易帐户数（假想）-43	 被动买还是主动买-S	 小计-462706.0
	 时间-10:33	 价格-4.4	 笔数-1050  	 交易帐户数（假想）-42	 被动买还是主动买-B	 小计-462000.0
	 时间-13:04	 价格-4.4	 笔数-1040  	 交易帐户数（假想）-25	 被动买还是主动买-B	 小计-457600.0
	 时间-9:32	 价格-4.45	 笔数-1028  	 交易帐户数（假想）-14	 被动买还是主动买-B	 小计-457459.97
	 时间-9:57	 价格-4.41	 笔数-1036  	 交易帐户数（假想）-18	 被动买还是主动买-S	 小计-456875.97
	 时间-9:30	 价格-4.48	 笔数-1019  	 交易帐户数（假想）-24	 被动买还是主动买-S	 小计-456512.0
	 时间-9:32	 价格-4.45	 笔数-1022  	 交易帐户数（假想）-16	 被动买还是主动买-B	 小计-454790.0
	 时间-10:02	 价格-4.39	 笔数-1030  	 交易帐户数（假想）-15	 被动买还是主动买-S	 小计-452169.97
	 时间-14:02	 价格-4.38	 笔数-1031  	 交易帐户数（假想）-10	 被动买还是主动买-B	 小计-451578.03
	 时间-13:21	 价格-4.38	 笔数-1031  	 交易帐户数（假想）-24	 被动买还是主动买-S	 小计-451578.03
	 时间-14:55	 价格-4.37	 笔数-1033  	 交易帐户数（假想）-17	 被动买还是主动买-S	 小计-451421.0
	 时间-9:34	 价格-4.46	 笔数-1007  	 交易帐户数（假想）-15	 被动买还是主动买-B	 小计-449122.03
	 时间-13:33	 价格-4.38	 笔数-1020  	 交易帐户数（假想）-10	 被动买还是主动买-S	 小计-446760.0
	 时间-10:29	 价格-4.4	 笔数-1006  	 交易帐户数（假想）-4	 被动买还是主动买-B	 小计-442640.0
	 时间-11:08	 价格-4.4	 笔数-1005  	 交易帐户数（假想）-12	 被动买还是主动买-S	 小计-442200.0
	 时间-11:20	 价格-4.41	 笔数-1001  	 交易帐户数（假想）-27	 被动买还是主动买-B	 小计-441440.97
	 时间-14:00	 价格-4.38	 笔数-1002  	 交易帐户数（假想）-34	 被动买还是主动买-S	 小计-438876.03
	 时间-13:00	 价格-4.41	 笔数-997  	 交易帐户数（假想）-24	 被动买还是主动买-B	 小计-439677.0
	 时间-9:57	 价格-4.41	 笔数-993  	 交易帐户数（假想）-25	 被动买还是主动买-B	 小计-437913.0
	 时间-10:07	 价格-4.39	 笔数-997  	 交易帐户数（假想）-24	 被动买还是主动买-S	 小计-437683.0
	 时间-10:49	 价格-4.42	 笔数-986  	 交易帐户数（假想）-11	 被动买还是主动买-S	 小计-435812.0
	 时间-9:33	 价格-4.45	 笔数-978  	 交易帐户数（假想）-20	 被动买还是主动买-S	 小计-435209.97
	 时间-13:02	 价格-4.39	 笔数-985  	 交易帐户数（假想）-17	 被动买还是主动买-S	 小计-432415.0
	 时间-10:02	 价格-4.39	 笔数-983  	 交易帐户数（假想）-36	 被动买还是主动买-S	 小计-431536.97
	 时间-9:57	 价格-4.41	 笔数-977  	 交易帐户数（假想）-61	 被动买还是主动买-S	 小计-430856.97
	 时间-13:28	 价格-4.38	 笔数-979  	 交易帐户数（假想）-19	 被动买还是主动买-S	 小计-428802.0
	 时间-13:00	 价格-4.4	 笔数-970  	 交易帐户数（假想）-34	 被动买还是主动买-S	 小计-426800.0
	 时间-9:31	 价格-4.46	 笔数-953  	 交易帐户数（假想）-28	 被动买还是主动买-B	 小计-425038.0
	 时间-13:21	 价格-4.39	 笔数-959  	 交易帐户数（假想）-11	 被动买还是主动买-B	 小计-421000.97
	 时间-9:42	 价格-4.45	 笔数-943  	 交易帐户数（假想）-10	 被动买还是主动买-B	 小计-419634.97
	 时间-13:39	 价格-4.37	 笔数-957  	 交易帐户数（假想）-19	 被动买还是主动买-S	 小计-418209.0
	 时间-9:38	 价格-4.43	 笔数-926  	 交易帐户数（假想）-25	 被动买还是主动买-S	 小计-410217.97
	 时间-13:45	 价格-4.38	 笔数-936  	 交易帐户数（假想）-46	 被动买还是主动买-B	 小计-409968.03
	 时间-9:30	 价格-4.48	 笔数-910  	 交易帐户数（假想）-17	 被动买还是主动买-B	 小计-407680.0
	 时间-9:57	 价格-4.4	 笔数-922  	 交易帐户数（假想）-14	 被动买还是主动买-S	 小计-405680.0
	 时间-9:43	 价格-4.44	 笔数-904  	 交易帐户数（假想）-32	 被动买还是主动买-S	 小计-401376.0
	 时间-9:58	 价格-4.4	 笔数-911  	 交易帐户数（假想）-14	 被动买还是主动买-S	 小计-400840.0
	 时间-10:12	 价格-4.39	 笔数-908  	 交易帐户数（假想）-17	 被动买还是主动买-S	 小计-398612.0
